epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,8379.28,0.46172,0.32245,0.84749,0.47939,0.46956,0.41165,0.2883,1.09297,2.08725,1.22364,0.000211947,0.000211947,0.000211947
122,8449.91,0.45321,0.31837,0.84458,0.43123,0.43483,0.46302,0.33031,1.07771,2.22338,1.20529,0.000211397,0.000211397,0.000211397
123,8516.87,0.47042,0.33698,0.84417,0.67197,0.38002,0.40187,0.2779,1.07125,2.25408,1.19818,0.000210846,0.000210846,0.000210846
124,8584.52,0.46025,0.33366,0.84051,0.65045,0.37032,0.4274,0.28574,1.05529,2.15176,1.19558,0.000210296,0.000210296,0.000210296
125,8655.27,0.46541,0.32833,0.84307,0.45424,0.44467,0.44701,0.30748,1.09533,1.97829,1.22714,0.000209745,0.000209745,0.000209745
126,8723.79,0.44944,0.31318,0.84028,0.53334,0.43923,0.43233,0.30128,1.08553,2.23503,1.21115,0.000209195,0.000209195,0.000209195
127,8792.42,0.45577,0.32508,0.84379,0.43036,0.35471,0.34113,0.24032,1.12607,2.42316,1.25265,0.000208645,0.000208645,0.000208645
128,8858.75,0.44898,0.3131,0.8388,0.50333,0.44198,0.42567,0.30032,1.07628,2.06204,1.2309,0.000208094,0.000208094,0.000208094
129,8928.63,0.44311,0.3072,0.83885,0.50918,0.3617,0.35141,0.24449,1.08558,2.22167,1.20969,0.000207544,0.000207544,0.000207544
130,8997.13,0.44357,0.31688,0.84272,0.72909,0.35978,0.41675,0.2918,1.08447,1.98429,1.21025,0.000206993,0.000206993,0.000206993
131,9063.79,0.44287,0.30554,0.83933,0.68582,0.4142,0.45392,0.31647,1.11273,2.10707,1.22631,0.000206443,0.000206443,0.000206443
132,9133.92,0.44575,0.31257,0.83634,0.44211,0.42095,0.39901,0.27789,1.08547,2.13751,1.20534,0.000205892,0.000205892,0.000205892
133,9204.53,0.43617,0.30799,0.83502,0.59328,0.39954,0.40807,0.29019,1.06403,2.01238,1.20929,0.000205342,0.000205342,0.000205342
134,9273.97,0.438,0.30714,0.84241,0.36732,0.40145,0.38171,0.26535,1.11635,2.34123,1.22941,0.000204791,0.000204791,0.000204791
